date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:35	19138/19138	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:56%20GMT	https://oxfordschoolofenglish.in/assets/oxford-logo/oxford-school-of-english-delhi-logo.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/oxford-logo/oxford-school-of-english-delhi-logo.webp	(from https://oxfordschoolofenglish.in/)
22:20:36	155915/155915	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:36%20GMT	https://oxfordschoolofenglish.in/index.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/index-2.html	(from https://oxfordschoolofenglish.in/)
22:20:37	134811/134811	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:36%20GMT	https://oxfordschoolofenglish.in/about.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/about.html	(from https://oxfordschoolofenglish.in/)
22:20:38	89203/89203	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:37%20GMT	https://oxfordschoolofenglish.in/gallery-fun-learning.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/gallery-fun-learning.html	(from https://oxfordschoolofenglish.in/)
22:20:39	86217/86217	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:38%20GMT	https://oxfordschoolofenglish.in/english-blogs.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/english-blogs.html	(from https://oxfordschoolofenglish.in/)
22:20:39	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Aug%202025%2016:50:39%20GMT	https://oxfordschoolofenglish.in/lms	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/lms.21.delayed	(from https://oxfordschoolofenglish.in/)
22:20:40	77286/77286	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:39%20GMT	https://oxfordschoolofenglish.in/franchise-opportunity.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/franchise-opportunity.html	(from https://oxfordschoolofenglish.in/)
22:20:41	195336/195336	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:40%20GMT	https://oxfordschoolofenglish.in/english-speaking-course.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/english-speaking-course.html	(from https://oxfordschoolofenglish.in/)
22:20:41	162439/162439	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:41%20GMT	https://oxfordschoolofenglish.in/advance-english-speaking-course.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/advance-english-speaking-course.html	(from https://oxfordschoolofenglish.in/)
22:20:42	136909/136909	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:41%20GMT	https://oxfordschoolofenglish.in/online-english-speaking-course.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/online-english-speaking-course.html	(from https://oxfordschoolofenglish.in/)
22:20:42	158619/158619	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:42%20GMT	https://oxfordschoolofenglish.in/pte-coaching-online.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/pte-coaching-online.html	(from https://oxfordschoolofenglish.in/)
22:20:43	134383/134383	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:43%20GMT	https://oxfordschoolofenglish.in/personalised-english-classes.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/personalised-english-classes.html	(from https://oxfordschoolofenglish.in/)
22:20:44	165248/165248	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:43%20GMT	https://oxfordschoolofenglish.in/english-speaking-course-for-beginners.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/english-speaking-course-for-beginners.html	(from https://oxfordschoolofenglish.in/)
22:20:44	130176/130176	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:44%20GMT	https://oxfordschoolofenglish.in/ielts-coaching-near-me.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/ielts-coaching-near-me.html	(from https://oxfordschoolofenglish.in/)
22:20:45	121628/121628	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:44%20GMT	https://oxfordschoolofenglish.in/online-ielts-coaching.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/online-ielts-coaching.html	(from https://oxfordschoolofenglish.in/)
22:20:45	131316/131316	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:45%20GMT	https://oxfordschoolofenglish.in/english-and-ielts-coaching-classes.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/english-and-ielts-coaching-classes.html	(from https://oxfordschoolofenglish.in/)
